"rep","strategy","n_workers","chr","start","end","bp","n_win","secs","load_s","secs_wall","rss_gb","pid"
1,"static",1,"chr22",1,50818468,50818468,195751,10.934,0,10.934,1.270370304,62333
1,"static",1,"chr21",1,46709983,46709983,200395,8.764,0.00100000000000122,8.765,1.467592704,62333
1,"static",2,"chr22",1,50818468,50818468,195751,11.954,7.377,19.331,1.237495808,62491
1,"static",2,"chr21",1,46709983,46709983,200395,12.407,7.377,19.784,1.192656896,62481
1,"static",3,"chr22",1,50818468,50818468,195751,11.294,7.427,18.721,1.268166656,62626
1,"static",3,"chr21",1,46709983,46709983,200395,11.604,7.427,19.031,1.275232256,62614
1,"dynamic",1,"chr22",1,50818468,50818468,195751,8.27200000000001,0,8.27200000000001,1.428615168,62333
1,"dynamic",1,"chr21",1,46709983,46709983,200395,9.33,0,9.33,1.553055744,62333
1,"dynamic",2,"chr22",1,50818468,50818468,195751,10.941,7.047,17.988,1.269039104,62821
1,"dynamic",2,"chr21",1,46709983,46709983,200395,11.118,7.047,18.165,1.224265728,62811
1,"dynamic",3,"chr22",1,50818468,50818468,195751,10.87,6.966,17.836,1.267544064,62936
1,"dynamic",3,"chr21",1,46709983,46709983,200395,11.109,6.971,18.08,1.223225344,62927
1,"segment",1,"chr22",1,50000000,5e+07,191709,8.18000000000001,0,8.18000000000001,1.562140672,62333
1,"segment",1,"chr21",1,46709983,46709983,200395,8.81,0,8.81,1.639018496,62333
1,"segment",1,"chr22",50000001,50818468,818468,4042,0.433999999999997,0,0.433999999999997,1.706807296,62333
1,"segment",2,"chr22",1,50000000,5e+07,191709,11.99,6.617,18.607,1.479462912,63123
1,"segment",2,"chr21",1,46709983,46709983,200395,11.908,6.618,18.526,1.425874944,63113
1,"segment",2,"chr22",50000001,50818468,818468,4042,0.510999999999999,0.00100000000000122,0.512,1.498361856,63113
1,"segment",3,"chr22",1,50000000,5e+07,191709,11.711,7.39,19.101,1.488228352,63261
1,"segment",3,"chr21",1,46709983,46709983,200395,11.637,7.388,19.025,1.448767488,63251
1,"segment",3,"chr22",50000001,50818468,818468,4042,1.681,7.4,9.081,0.859365376,63240
